,price,index
0,45.0,0.0
1,176.19,60.0
2,234.92,120.0
3,340.63,180.0
4,421.0,252.0
5,458.09,301.0
6,553.0,361.0
7,650.0,421.0
8,750.0,481.0
9,850.0,541.0
10,975.0,614.0
11,1076.0,662.0
12,1200.0,734.0
13,1292.06,782.0
14,1421.27,842.0
15,1521.11,903.0
16,1664.0,963.0
17,1774.0,1023.0
18,1843.0,1083.0
19,1904.0,1156.0
20,2000.0,1219.0
21,2040.0,1281.0
22,2124.0,1324.0
23,2250.0,1396.0
24,2349.2,1445.0
25,2457.0,1517.0
26,2500.0,1577.0
27,2574.0,1625.0
28,2750.0,1685.0
29,2819.04,1758.0
30,2950.0,1806.0
31,3000.0,1866.0
32,3053.96,1937.0
33,3200.0,1999.0
34,3300.0,2047.0
35,3500.0,2128.0
36,3538.0,2214.0
37,3600.0,2245.0
38,3750.0,2288.0
39,3876.18,2348.0
40,4000.0,2420.0
41,4111.1,2468.0
42,4346.02,2528.0
43,4500.0,2601.0
44,4700.0,2649.0
45,4810.0,2709.0
46,5000.0,2781.0
47,5285.7,2830.0
48,5500.0,2902.0
49,5638.08,2962.0
50,5900.0,3010.0
51,6000.0,3082.0
52,6300.0,3131.0
53,6548.92,3203.0
54,6895.0,3251.0
55,7040.0,3311.0
56,7500.0,3371.0
57,7784.0,3432.0
58,8104.74,3504.0
59,8400.0,3552.0
60,8700.0,3612.0
61,9200.0,3673.0
62,9650.0,3745.0
63,10000.0,3793.0
64,10495.0,3853.0
65,11158.7,3925.0
66,12000.0,3974.0
67,12200.0,4034.0
68,13000.0,4106.0
69,14000.0,4154.0
70,14500.0,4214.0
71,15034.88,4275.0
72,16326.94,4347.0
73,17500.0,4395.0
74,18600.0,4455.0
