,price,index
0,45.0,0.0
1,189.0,301.0
2,240.0,602.0
3,300.0,903.0
4,355.0,1204.0
5,415.0,1505.0
6,470.0,1806.0
7,510.0,2143.0
8,560.0,2408.0
9,610.0,2709.0
10,680.0,3011.0
11,744.0,3312.0
12,815.0,3673.0
13,880.0,3914.0
14,940.0,4215.0
15,990.0,4516.0
16,1049.0,4817.0
17,1135.0,5118.0
18,1210.0,5419.0
19,1310.0,5720.0
20,1410.0,6022.0
21,1510.0,6323.0
22,1610.0,6624.0
23,1710.0,7010.0
24,1750.0,7350.0
25,1810.0,7587.0
26,1918.0,7828.0
27,2010.0,8129.0
28,2170.0,8430.0
29,2300.0,8731.0
30,2450.0,9033.0
31,2600.0,9334.0
32,2740.0,9635.0
33,2910.0,9936.0
34,3020.0,10237.0
35,3270.0,10538.0
36,3500.0,10839.0
37,3750.0,11140.0
38,4000.0,11441.0
39,4310.0,11742.0
40,4750.0,12044.0
41,5200.0,12345.0
42,5610.0,12646.0
43,6250.0,12947.0
44,7000.0,13248.0
45,8000.0,13549.0
46,8995.0,13850.0
47,10260.0,14151.0
48,12750.0,14452.0
49,15750.0,14753.0
