,price,image
0,"$10,200,000",https://p1.liveauctioneers.com/1401/76432/39990604_1_x.jpg?auto=webp&format=pjpg&quality=65&version=1439589528&width=310
1,"PHP 34,000,000",https://p1.liveauctioneers.com/1902/77011/40313001_1_x.jpg?auto=webp&format=pjpg&quality=65&version=1440657430&width=310
2,"$700,000",https://p1.liveauctioneers.com/404/23054/8109424_1_x.jpg?auto=webp&format=pjpg&quality=65&width=310
3,"$420,000",https://p1.liveauctioneers.com/7057/183611/92313468_1_x.jpg?auto=webp&format=pjpg&quality=65&version=1603855762&width=310
4,"$290,000",https://p1.liveauctioneers.com/7057/183611/92313469_1_x.jpg?auto=webp&format=pjpg&quality=65&version=1603855762&width=310
5,"$220,000",https://p1.liveauctioneers.com/1325/138243/70120120_1_x.jpg?auto=webp&format=pjpg&quality=65&version=1552571046&width=310
6,"PHP 8,500,000",https://p1.liveauctioneers.com/1902/194284/97980464_1_x.jpg?auto=webp&format=pjpg&quality=65&version=1613384866&width=310
7,"$170,000",https://p1.liveauctioneers.com/7188/178153/89728210_1_x.jpg?auto=webp&format=pjpg&quality=65&version=1599144473&width=310
8,"PHP 8,000,000",https://p1.liveauctioneers.com/1902/126747/64486133_1_x.jpg?auto=webp&format=pjpg&quality=65&version=1536216581&width=310
9,"PHP 7,000,000",https://p1.liveauctioneers.com/1902/99822/50993402_1_x.jpg?auto=webp&format=pjpg&quality=65&version=1486601874&width=310
10,"£100,000",https://p1.liveauctioneers.com/404/23974/8592590_1_x.jpg?auto=webp&format=pjpg&quality=65&width=310
11,"£100,000",https://p1.liveauctioneers.com/404/23974/8592570_1_x.jpg?auto=webp&format=pjpg&quality=65&width=310
12,"PHP 6,000,000",https://p1.liveauctioneers.com/1902/82307/42717032_1_x.jpg?auto=webp&format=pjpg&quality=65&version=1448277849&width=310
13,"£85,000",https://p1.liveauctioneers.com/404/23974/8592565_1_x.jpg?auto=webp&format=pjpg&quality=65&width=310
14,"NZ$150,000",https://p1.liveauctioneers.com/1286/82405/42713307_1_x.jpg?auto=webp&format=pjpg&quality=65&version=1448246499&width=310
